path,name,extension,size_bytes,size_mb,modified,directory,is_hidden
/Users/steven/Documents/json/_misnamed_rtf/2025-08-07_01-29-22.json,2025-08-07_01-29-22.json,.json,656,0.0,2025-10-26 02:22:24,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-07-31_19-45-50.json,2025-07-31_19-45-50.json,.json,656,0.0,2025-10-26 02:22:26,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-44-48.json,2025-09-11_17-44-48.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-04_07-10-43.json,2025-09-04_07-10-43.json,.json,656,0.0,2025-10-26 02:22:22,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-07_16-59-16ee.json,2025-03-07_16-59-16ee.json,.json,656,0.0,2025-10-26 02:22:36,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-05-02_03-34-41.json,2025-05-02_03-34-41.json,.json,656,0.0,2025-10-26 02:22:30,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-07-31_20-34-55.json,2025-07-31_20-34-55.json,.json,656,0.0,2025-10-26 02:22:26,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-58-06.json,2025-09-11_17-58-06.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-53-21.json,2025-09-11_17-53-21.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-55-09.json,2025-09-11_17-55-09.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-53-36.json,2025-09-11_17-53-36.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
